project_name,maturity,tag,accepted_date,sandbox_date,incubating_date,graduated_date,archived_date,num_security_audits,last_security_audit_date
service mesh performance,archived,,2021-06-22,2021-06-22,,,2025-09-16,0,
shipwright,sandbox,,2024-08-19,2024-08-19,,,,0,
skooner,archived,,2021-01-26,2021-01-26,,,2024-10-24,0,
slimfaas,sandbox,,2025-01-21,2025-01-21,,,,0,
slimtoolkit,sandbox,,2023-05-17,2023-05-17,,,,0,
sops,sandbox,,2023-05-17,2023-05-17,,,,0,
spiderpool,sandbox,,2023-12-19,2023-12-19,,,,0,
spiffe,graduated,,2018-03-29,2018-03-29,2020-06-22,2022-08-23,,0,
spin,sandbox,,2025-01-21,2025-01-21,,,,0,
spinkube,sandbox,,2025-01-21,2025-01-21,,,,0,
spire,graduated,,2018-03-29,2018-03-29,2020-06-22,2022-08-22,,0,
stacker,sandbox,,2024-06-19,2024-06-19,,,,0,
strimzi,incubating,,2019-08-28,2019-08-28,2024-02-08,,,0,
submariner,sandbox,,2021-04-28,2021-04-28,,,,0,
superedge,archived,,2021-09-14,2021-09-14,,,2025-03-25,0,
telepresence,sandbox,,2018-05-15,2018-05-15,,,,0,
teller,archived,,2022-04-26,2022-04-26,,,2025-05-20,0,
thanos,incubating,,2019-07-14,2019-07-14,2020-08-19,,,0,
the update framework (tuf),graduated,,2017-10-24,,2017-10-24,2019-12-18,,1,2018-08-07
tikv,graduated,,2018-08-28,,2018-08-28,2020-09-02,,1,2020-03-05
tinkerbell,sandbox,,2020-11-10,2020-11-10,,,,0,
tokenetes,sandbox,,2025-01-21,2025-01-21,,,,0,
tremor,sandbox,,2020-09-08,2020-09-08,,,,0,
trickster,sandbox,,2021-03-30,2021-03-30,,,,0,
urunc,sandbox,,2025-05-22,2025-05-22,,,,0,
vineyard,sandbox,,2021-04-28,2021-04-28,,,,0,
virtual kubelet,sandbox,,2018-12-04,2018-12-04,,,,0,
visual studio code kubernetes tools,sandbox,,2021-11-09,2021-11-09,,,,0,
vitess,graduated,,2018-02-05,,2018-02-05,2019-11-05,,3,2023-06-05
volcano,incubating,,2020-04-09,2020-04-09,2022-03-21,,,0,
wasmcloud,incubating,,2021-07-13,2021-07-13,2024-11-08,,,0,
wasmedge runtime,sandbox,,2021-04-28,2021-04-28,,,,0,
werf,sandbox,,2022-12-13,2022-12-13,,,,0,
xline,archived,,2023-06-30,2023-06-30,,,2025-09-19,0,
xregistry,sandbox,,2025-06-05,2025-06-05,,,,0,
youki,sandbox,,2024-10-17,2024-10-17,,,,0,
zot,sandbox,,2022-12-13,2022-12-13,,,,0,
